ticker,name
084670.KS,동양고속
120030.KS,조선선재
123690.KS,한국화장품
248170.KS,샘표식품
267290.KS,경동도시가스
350520.KS,이지스레지던스리츠
000230.KS,일동홀딩스
001020.KS,페이퍼코리아
001275.KS,부국증권우
002200.KS,한국수출포장
004100.KS,태양금속
004840.KS,DRB동일
005870.KS,휴니드
007110.KS,일신석재
007460.KS,에이프로젠
012800.KS,대창
014160.KS,대영포장
014580.KS,태경비케이
015590.KS,DKME
017550.KS,수산세보틱스
017900.KS,광전자
020120.KS,키다리스튜디오
034590.KS,인천도시가스
139990.KS,아주스틸
227840.KS,현대코퍼레이션홀딩스
267850.KS,아시아나IDT
000105.KS,유한양행우
000180.KS,성창기업지주
001560.KS,제일연마
002220.KS,한일철강
002450.KS,삼익악기
002720.KS,국제약품
003580.KS,HLB글로벌
004060.KS,SG세계물산
005740.KS,크라운해태홀딩스
006840.KS,AK홀딩스
008260.KS,NI스틸
011810.KS,STX
013360.KS,일성건설
013870.KS,지엠비코리아
017370.KS,우신시스템
023450.KS,동남합성
023800.KS,인지컨트롤스
058850.KS,KTcs
063160.KS,종근당바이오
264900.KS,크라운제과
000590.KS,CS홀딩스
002700.KS,신일전자
004890.KS,동일산업
005750.KS,대림바스
006660.KS,삼성공조
006890.KS,태경케미컬
007980.KS,TP
010960.KS,삼호개발
011150.KS,CJ씨푸드
023000.KS,삼원강재
032560.KS,황금에스티
058860.KS,KTis
078935.KS,GS우
101140.KS,인바이오젠
119650.KS,KC코트렐
163560.KS,동일고무벨트
214330.KS,금호에이치티
33626K.KS,
37550L.KS,
396690.KS,미래에셋글로벌리츠
000850.KS,화천기공
001260.KS,남광토건
001550.KS,조비
002600.KS,조흥
003925.KS,남양유업우
004440.KS,삼일씨엔에스
004720.KS,팜젠사이언스
006880.KS,신송홀딩스
007280.KS,한국특강
009180.KS,한솔로지스틱스
009200.KS,무림페이퍼
011000.KS,진원생명과학
014440.KS,영보화학
031820.KS,아이티센씨티에스
068290.KS,삼성출판사
079980.KS,휴비스
085310.KS,엔케이
096775.KS,SK이노베이션우
111380.KS,동인기연
338100.KS,NH프라임리츠
000725.KS,현대건설우
001470.KS,삼부토건
002795.KS,아모레퍼시픽홀딩스우
004410.KS,서울식품
006090.KS,사조오양
007590.KS,동방아그로
009770.KS,삼정펄프
009835.KS,한화솔루션우
010040.KS,한국내화
011330.KS,유니켐
011390.KS,부산산업
012690.KS,모나리자
013700.KS,까뮤이앤씨
016090.KS,대현
018500.KS,동원금속
023810.KS,인팩
058730.KS,다스코
071090.KS,하이스틸
120115.KS,코오롱인더우
129260.KS,인터지스
000220.KS,유유제약
000910.KS,유니온
001620.KS,케이비아이동국실업
002140.KS,고려산업
002760.KS,보락
003010.KS,혜인
003780.KS,진양산업
004540.KS,깨끗한나라
004830.KS,덕성
006980.KS,우성
047400.KS,유니온머티리얼
055490.KS,테이팩스
069730.KS,DSR제강
072130.KS,유엔젤
092440.KS,기신정기
100220.KS,비상교육
111110.KS,호전실업
155660.KS,DSR
372910.KS,한컴라이프케어
378850.KS,화승알앤에이
000950.KS,전방
001380.KS,SG글로벌
001465.KS,BYC우
002630.KS,오리엔트바이오
003060.KS,에이프로젠바이오로직스
003465.KS,유화증권우
003475.KS,유안타증권우
004450.KS,삼화왕관
004910.KS,조광페인트
005305.KS,롯데칠성우
007120.KS,미래아이앤지
017180.KS,명문제약
021050.KS,서원
024900.KS,디와이덕양
025560.KS,미래산업
092780.KS,DYP
093240.KS,형지엘리트
109070.KS,주성코퍼레이션
357250.KS,미래에셋맵스리츠
37550K.KS,
000890.KS,보해양조
002410.KS,범양건영
002920.KS,유성기업
003080.KS,SB성보
004770.KS,써니전자
004920.KS,씨아이테크
007610.KS,선도전기
007815.KS,코리아써우
009190.KS,대양금속
010770.KS,평화홀딩스
012160.KS,영흥
012280.KS,영화금속
014990.KS,인디에프
023960.KS,에쓰씨엔지니어링
025530.KS,SJM홀딩스
027740.KS,마니커
041650.KS,상신브레이크
075180.KS,새론오토모티브
123700.KS,SJM
28513K.KS,
000215.KS,DL우
001210.KS,금호전기
006125.KS,SK디스커버리우
006370.KS,대구백화점
008420.KS,문배철강
008870.KS,금비
009320.KS,아진전자부품
011230.KS,삼화전자
011300.KS,우성머티리얼스
011420.KS,갤럭시아에스엠
017040.KS,광명전기
020760.KS,일진디스플
023350.KS,한국종합기술
049800.KS,우진플라임
051630.KS,진양화학
069460.KS,대호에이엘
090080.KS,평화산업
133820.KS,화인베스틸
465770.KS,STX그린로지스
481850.KS,신한글로벌액티브리츠
000760.KS,이화산업
002360.KS,SH에너지화학
002870.KS,신풍
002880.KS,디와이에이
003535.KS,한화투자증권우
004870.KS,티웨이홀딩스
005030.KS,부산주공
006490.KS,인스코비
008250.KS,이건산업
019490.KS,엑시큐어하이트론
025750.KS,한솔홈데코
026940.KS,부국철강
074610.KS,이엔플러스
084870.KS,TBH글로벌
118000.KS,메타케어
134790.KS,시디즈
145270.KS,케이탑리츠
308170.KS,씨티알모빌리티
35320K.KS,
357430.KS,마스턴프리미어리츠
000040.KS,KR모터스
001070.KS,대한방직
002420.KS,세기상사
002690.KS,동일제강
004365.KS,세방우
005320.KS,온타이드
005360.KS,모나미
005820.KS,원림
006200.KS,한국전자홀딩스
009140.KS,경인전자
009810.KS,플레이그램
013000.KS,세우글로벌
014130.KS,한익스프레스
014910.KS,성문전자
019175.KS,신풍제약우
024890.KS,대원화성
088790.KS,진도
090370.KS,메타랩스
33637K.KS,
446070.KS,유니드비티플러스
002025.KS,코오롱우
002355.KS,넥센타이어1우B
002820.KS,SUN&L
003495.KS,대한항공우
003680.KS,한성기업
004270.KS,남성
006570.KS,대림통상
006740.KS,블루산업개발
009460.KS,한창제지
010400.KS,우진아이엔에스
011090.KS,에넥스
015260.KS,에이엔피
023150.KS,MH에탄올
024070.KS,WISCOM
030720.KS,동원수산
033250.KS,체시스
069640.KS,한세엠케이
071950.KS,코아스
33626L.KS,
480370.KS,씨케이솔루션
001420.KS,태원물산
001685.KS,대상우
001770.KS,SHD
002210.KS,동성제약
00499K.KS,
005110.KS,한창
005257.KS,녹십자홀딩스2우
008600.KS,윌비스
008775.KS,호텔신라우
009310.KS,참엔지니어링
009440.KS,KC그린홀딩스
010640.KS,진양폴리
012170.KS,아센디오
015020.KS,이스타코
019685.KS,대교우B
025890.KS,한국주강
044380.KS,주연테크
143210.KS,핸즈코퍼레이션
18064K.KS,
45226K.KS,
000087.KS,하이트진로2우B
001067.KS,JW중외제약2우B
001515.KS,SK증권우
001755.KS,한양증권우
001795.KS,대한제당우
002070.KS,비비안
003075.KS,코오롱글로벌우
004105.KS,태양금속우
004255.KS,NPC우
005725.KS,넥센우
00806K.KS,
008500.KS,일정실업
084695.KS,대상홀딩스우
108675.KS,LX하우시스우
140910.KS,에이리츠
145995.KS,삼양사우
152550.KS,한국ANKOR유전
204210.KS,스타에스엠리츠
33637L.KS,
38380K.KS,
000145.KS,하이트진로홀딩스우
000225.KS,유유제약1우
000325.KS,노루홀딩스우
000545.KS,흥국화재우
001065.KS,JW중외제약우
002995.KS,금호건설우
004835.KS,덕성우
004985.KS,성신양회우
005745.KS,크라운해태홀딩스우
005965.KS,동부건설우
006345.KS,대원전선우
007575.KS,일양약품우
00781K.KS,
009415.KS,태영건설우
012205.KS,계양전기우
014825.KS,동원시스템즈우
090355.KS,노루페인트우
145210.KS,다이나믹디자인
26490K.KS,
36328K.KS,
000227.KS,유유제약2우B
001525.KS,동양우
001527.KS,동양2우B
002785.KS,진흥기업우B
002787.KS,진흥기업2우B
004415.KS,서울식품우
004545.KS,깨끗한나라우
008355.KS,남선알미우
011155.KS,CJ씨푸드1우
014285.KS,금강공업우
014915.KS,성문전자우
